Heuristic, Task, Proc, Status, BestID, Time, NumLoop, Count, MaxEval, MinEval, MeanEval, StdEval, BestSol
edaHC, 0, 0, Start, 46, 0.00151277, 0, 52, -24276.3, -33450.3, -30120.9, 1737.05, 13 51 12 49 41 1 11 7 38 47 40 37 0 2 9 50 14 46 27 34 31 30 42 32 8 5 10 26 21 39 23 35 16 45 17 22 4 18 48 24 33 19 29 44 3 15 25 28 6 43 20 36 
edaHC, 0, 0, Proc, 46, 0.0257459, 1, 52, -22861.9, -31300.3, -28138.7, 1645.82, 13 51 12 49 41 1 6 28 25 15 3 44 29 19 33 24 48 18 4 22 17 45 16 35 23 39 21 26 10 5 8 32 42 30 31 34 27 46 14 50 9 2 0 37 40 47 38 7 11 43 20 36 
edaHC, 0, 0, Proc, 46, 0.0461459, 2, 52, -21671.8, -29505.4, -26408.6, 1576.74, 13 51 12 49 41 1 6 28 25 15 3 44 29 19 33 24 48 18 4 22 17 45 16 35 23 39 21 36 20 43 11 7 38 47 40 37 0 2 9 50 14 46 27 34 31 30 42 32 8 5 10 26 
edaHC, 0, 0, Proc, 46, 0.0676908, 3, 52, -20665.9, -27832.1, -24838.6, 1515.39, 13 51 12 25 28 6 1 41 49 15 3 44 29 19 33 24 48 18 4 22 17 45 16 35 23 39 21 36 20 43 11 7 38 47 40 37 0 2 9 50 14 46 27 34 31 30 42 32 8 5 10 26 
edaHC, 0, 0, Proc, 46, 0.0879059, 4, 52, -19810.5, -26418.1, -23405.9, 1444.91, 13 51 12 25 28 6 1 41 49 15 3 44 29 19 33 24 48 18 4 22 17 45 16 35 23 39 21 36 20 43 11 47 38 7 40 37 0 2 9 50 14 46 27 34 31 30 42 32 8 5 10 26 
edaHC, 0, 0, Proc, 46, 0.107941, 5, 52, -18962.2, -25041.5, -22117, 1361.12, 13 51 12 25 28 6 1 41 49 15 3 44 29 19 33 24 48 18 4 22 17 45 16 35 23 39 21 36 20 43 11 47 38 7 40 37 0 2 9 8 32 42 30 31 34 27 46 14 50 5 10 26 
edaHC, 0, 0, Proc, 46, 0.128113, 6, 52, -18064.4, -23720.1, -20940.7, 1289.25, 13 51 12 25 28 6 1 41 49 15 3 44 29 19 33 24 48 18 4 22 17 45 16 35 23 39 21 36 20 43 11 47 38 7 40 37 0 2 9 8 32 42 30 31 34 27 46 14 5 50 10 26 
edaHC, 0, 0, Proc, 46, 0.148514, 7, 52, -17219.3, -22517.9, -19875.7, 1225.17, 13 51 12 25 28 6 1 41 49 15 3 44 29 19 33 24 48 18 4 22 17 45 16 35 23 39 21 36 20 43 34 31 30 42 32 8 9 2 0 37 40 7 38 47 11 27 46 14 5 50 10 26 
edaHC, 0, 0, Proc, 49, 0.168649, 8, 52, -16220.4, -21120.5, -18890.9, 1140.91, 4 48 40 7 5 31 19 41 6 1 29 47 45 18 9 32 42 44 33 43 3 35 0 21 46 15 24 27 25 13 12 51 26 10 50 11 8 2 16 28 36 20 30 22 17 38 23 49 39 14 37 34 
edaHC, 0, 0, Proc, 49, 0.188407, 9, 52, -15543, -19898.4, -17953.9, 1059.19, 4 48 40 7 5 31 19 41 6 1 29 28 16 2 8 11 50 10 26 51 12 13 25 27 24 15 46 21 0 35 3 43 33 44 42 32 9 18 45 47 36 20 30 22 17 38 23 49 39 14 37 34 
edaHC, 0, 0, Proc, 49, 0.208148, 10, 52, -14710.3, -18859.8, -17100.5, 997.512, 4 48 40 7 8 2 16 28 29 1 6 41 19 31 5 11 50 10 26 51 12 13 25 27 24 15 46 21 0 35 3 43 33 44 42 32 9 18 45 47 36 20 30 22 17 38 23 49 39 14 37 34 
